Mapping results for funny-nose from the region "region1".
This analysis for this trait was performed by collecting trees, then calculating the data likelihood of the trait marker at all allowed sites on those trees, and then averaging.
Most likely site(s) for funny-nose:  919:923.  Relative data likelihood = 0.0025891
The top 5% of all sites in this region:  919:936, 946:947
The top 50% of all sites in this region:  678:709, 776:803, 811:953
The top 95% of all sites in this region:  1:212, 214:215, 217:220, 641:953
You have a total of 531 sites in your 95% range.

Site	Data likelihood
587	0.00003994
588	0.00003989
589	0.00003989
590	0.00003989
591	0.00003989
592	0.00003989
593	0.00003988
594	0.00003989
595	0.00003989
596	0.00004000
597	0.00004000
598	0.00004000
599	0.00004000
600	0.00004001
601	0.00004006
602	0.00004006
603	0.00004006
604	0.00004006
605	0.00004008
606	0.00004008
607	0.00004007
608	0.00004007
609	0.00004009
610	0.00004009
611	0.00004009
612	0.00004009
613	0.00004008
614	0.00004008
615	0.00004009
616	0.00003933
617	0.00003933
618	0.00003933
619	0.00003933
620	0.00003930
621	0.00003930
622	0.00003930
623	0.00003930
624	0.00003757
625	0.00003773
626	0.00003773
627	0.00003779
628	0.00003779
629	0.00003779
630	0.00003779
631	0.00003779
632	0.00003779
633	0.00003779
634	0.00003780
635	0.00003780
636	0.00003780
637	0.00003780
638	0.00003780
639	0.00003780
640	0.00003780
641	0.00143050
642	0.00143050
643	0.00199863
644	0.00199909
645	0.00199909
646	0.00199909
647	0.00199913
648	0.00199913
649	0.00199913
650	0.00200189
651	0.00200524
652	0.00200524
653	0.00200499
654	0.00200497
655	0.00200497
656	0.00200497
657	0.00200497
658	0.00200510
659	0.00200510
660	0.00206220
661	0.00206220
662	0.00206220
663	0.00206220
664	0.00206220
665	0.00206220
666	0.00206220
667	0.00206578
668	0.00206578
669	0.00206686
670	0.00206686
671	0.00206686
672	0.00206687
673	0.00206687
674	0.00206854
675	0.00206951
676	0.00206910
677	0.00206950
678	0.00233942
679	0.00233942
680	0.00233945
681	0.00233966
682	0.00233963
683	0.00233865
684	0.00233864
685	0.00233864
686	0.00233874
687	0.00233874
688	0.00233874
689	0.00233876
690	0.00233856
691	0.00233856
692	0.00233856
693	0.00233856
694	0.00233856
695	0.00233859
696	0.00233850
697	0.00233850
698	0.00233850
699	0.00233850
700	0.00233849
701	0.00233806
702	0.00233806
703	0.00233806
704	0.00234071
705	0.00234121
706	0.00234121
707	0.00234121
708	0.00234121
709	0.00234121
710	0.00233015
711	0.00233015
712	0.00233091
713	0.00233104
714	0.00233104
715	0.00233104
716	0.00233104
717	0.00233104
718	0.00233089
719	0.00230795
720	0.00230795
721	0.00230795
722	0.00230629
723	0.00230629
724	0.00230629
725	0.00230638
726	0.00230638
727	0.00230650
728	0.00228429
729	0.00228429
730	0.00228448
731	0.00228017
732	0.00228071
733	0.00231557
734	0.00231552
735	0.00231552
736	0.00231551
737	0.00231551
738	0.00231551
739	0.00231908
740	0.00231908
741	0.00231908
742	0.00231908
743	0.00231909
744	0.00231909
745	0.00231909
746	0.00231909
747	0.00231909
748	0.00231909
749	0.00231909
750	0.00231712
751	0.00231834
752	0.00231834
753	0.00231749
754	0.00231750
755	0.00231750
756	0.00231750
757	0.00231753
758	0.00231406
759	0.00231410
760	0.00231874
761	0.00231959
762	0.00231959
763	0.00232174
764	0.00232204
765	0.00232204
766	0.00232679
767	0.00232679
768	0.00232679
769	0.00232679
770	0.00232679
771	0.00232679
772	0.00232640
773	0.00232640
774	0.00232640
775	0.00232813
776	0.00233179
777	0.00233346
778	0.00233442
779	0.00233442
780	0.00233444
781	0.00233443
782	0.00233528
783	0.00233528
784	0.00233528
785	0.00233528
786	0.00233528
787	0.00233525
788	0.00233525
789	0.00233525
790	0.00233528
791	0.00233571
792	0.00233341
793	0.00233307
794	0.00233324
795	0.00233331
796	0.00233331
797	0.00233331
798	0.00233462
799	0.00233249
800	0.00233249
801	0.00233249
802	0.00233249
803	0.00233249
804	0.00233127
805	0.00233127
806	0.00233101
807	0.00233101
808	0.00233028
809	0.00232963
810	0.00232963
811	0.00251261
812	0.00251261
813	0.00251439
814	0.00251439
815	0.00251439
816	0.00251439
817	0.00251439
818	0.00251320
819	0.00251320
820	0.00251320
821	0.00251320
822	0.00251311
823	0.00251311
824	0.00251361
825	0.00251261
826	0.00251261
827	0.00251261
828	0.00251087
829	0.00251087
830	0.00251092
831	0.00251092
832	0.00251092
833	0.00250843
834	0.00250843
835	0.00250843
836	0.00250913
837	0.00251042
838	0.00249511
839	0.00249555
840	0.00249555
841	0.00249555
842	0.00249555
843	0.00249555
844	0.00249555
845	0.00248404
846	0.00248404
847	0.00248442
848	0.00248442
849	0.00248443
850	0.00248409
851	0.00248409
852	0.00248409
853	0.00248409
854	0.00248472
855	0.00248472
856	0.00248472
857	0.00248472
858	0.00248472
859	0.00248472
860	0.00248550
861	0.00248550
862	0.00248673
863	0.00248491
864	0.00248491
865	0.00248491
866	0.00248746
867	0.00248746
868	0.00248746
869	0.00248746
870	0.00248746
871	0.00248747
872	0.00248747
873	0.00249386
874	0.00249386
875	0.00249385
876	0.00249379
877	0.00249371
878	0.00249371
879	0.00249417
880	0.00249417
881	0.00249417
882	0.00249738
883	0.00249738
884	0.00249765
885	0.00249765
886	0.00249765
887	0.00249765
888	0.00249765
889	0.00249765
890	0.00249544
891	0.00249382
892	0.00249382
893	0.00249382
894	0.00249391
895	0.00249391
896	0.00249391
897	0.00249391
898	0.00249355
899	0.00249371
900	0.00249356
901	0.00249356
902	0.00249336
903	0.00249336
904	0.00258377
905	0.00258377
906	0.00258375
907	0.00257633
908	0.00257425
909	0.00257425
910	0.00257425
911	0.00257420
912	0.00257617
913	0.00257617
914	0.00256608
915	0.00256608
916	0.00256608
917	0.00256608
918	0.00256860
919	0.00258910
920	0.00258910
921	0.00258910
922	0.00258910
923	0.00258910
924	0.00258870
925	0.00258870
926	0.00258870
927	0.00258870
928	0.00258865
929	0.00258877
930	0.00258877
931	0.00258855
932	0.00258855
933	0.00258855
934	0.00258855
935	0.00258856
936	0.00258856
937	0.00258808
938	0.00258808
939	0.00258797
940	0.00258803
941	0.00258803
942	0.00258803
943	0.00258803
944	0.00258790
945	0.00258790
946	0.00258833
947	0.00258833
948	0.00258802
949	0.00258802
950	0.00258802
951	0.00258802
952	0.00258385
953	0.00258330
954	0.00031511
955	0.00031463
956	0.00031463
957	0.00031463
958	0.00031536
959	0.00031536
960	0.00031473
961	0.00031473
962	0.00031323
963	0.00031312
964	0.00031312
965	0.00031081
966	0.00013327
967	0.00013327
968	0.00013326
969	0.00013307
970	0.00013307
971	0.00013311
972	0.00013311
973	0.00013311
974	0.00013301
975	0.00012873
976	0.00012873
977	0.00012793
978	0.00012793
979	0.00012191
980	0.00012191
981	0.00012190
982	0.00012195
983	0.00012540
984	0.00012540
985	0.00012540
986	0.00012695
987	0.00012694
988	0.00012694
989	0.00012691
990	0.00012681
991	0.00012681
992	0.00013026
993	0.00013025
994	0.00013013
995	0.00013013
996	0.00013015
997	0.00013015
998	0.00013015
999	0.00013005
1000	0.00012872
